Data_Publicacao,Manchete,Score_IA,Classificacao
2026-03-27 01:00:00,Ballan’s $325m transformation: 850 homes for quiet town,0.1266,Positivo (Comprar)
2026-03-27 00:57:09,Bitcoin Price Prediction 2026: The Breakout Condition You Need to Know,0.05,Neutro
2026-03-27 00:52:47,Bit Digital (NASDAQ:BTBT) Reaches New 1-Year Low – What’s Next?,0.0521,Neutro
2026-03-27 00:52:42,Bit Digital (NASDAQ:BTBT) Reaches New 1-Year Low – What’s Next?,0.0521,Neutro
2026-03-27 00:50:11,"Bitcoin Recovery Timeline: A Sobering 300-Day Path Back to Peak, Analysis Suggests",0.0072,Neutro
2026-03-27 00:48:24,XRP Price news as ETFs Pull $1.4B and Pepeto Targets Bigger Returns,0.09,Neutro
2026-03-27 00:46:15,Winners Revealed: D CEO ’s 2026 Commercial Real Estate Awards,0.3829,Positivo (Comprar)
2026-03-27 00:45:45,Efforts to crack down on cryptocurrency scams in Utah,0.0188,Neutro
2026-03-27 00:45:45,How cryptocurrency ATMs play into scammers’ plans and how to avoid them,0.0479,Neutro
2026-03-27 00:45:45,"Bitcoin (BTC) Lost $70,000: What's Next? Is Chainlink (LINK) Hiding $10 Potential? XRP Aims at $1.20 Once Again: Crypto Market Review",0.0,Neutro
2026-03-27 00:45:39,Dogecoin Price Bounces as Opera Eyes 160M CELO and Pepeto Offers Returns DOGE Cannot Match,0.13,Positivo (Comprar)
2026-03-27 00:45:12,"Japanese 5-Year Bond Yield Shatters Record with 1.76% High, Threatening Global Carry Trades",0.0831,Neutro
2026-03-27 00:43:30,Solana Price Holds at $86 as SEC Crypto Shift Lifts Pepeto Presale Beyond SOL Upside,0.05,Neutro
2026-03-27 00:41:11,Ethereum Price News: BlackRock Sends $212M as Pepeto Presale Offers Bigger Returns,0.0929,Neutro
2026-03-27 00:40:12,Bitcoin Miner Liquidation Fears Intensify After MARA’s Staggering $1.1 Billion Sale,0.0764,Neutro
2026-03-27 00:39:08,Bitcoin Price News: ETFs Add $962M as Pepeto Presale Offers Returns BTC Cannot Match,0.13,Positivo (Comprar)
2026-03-27 00:35:12,Bitcoin Options Expiry: A Monumental $13.2 Billion Event Unfolds Today,0.125,Positivo (Comprar)
2026-03-27 00:34:46,Crypto Crashes The Mortgage Party As Coinbase And Better Plug Into Fannie Mae,0.2815,Positivo (Comprar)
2026-03-27 00:30:13,Crypto Fear & Greed Index Climbs to 13 as Extreme Fear Grips Markets,-0.0883,Neutro
2026-03-27 00:30:00,Bitcoin And Ethereum Outlook: Too Soon For A Crypto Bounce,0.05,Neutro
2026-03-27 00:28:52,Crypto News: Pepeto Nears Launch While Bitcoin Price Targets $200K Despite Crypto Crash and Markets Search for the Next Dogecoin,0.0696,Neutro
2026-03-27 00:28:30,How to Buy Pepeto: Step-by-Step Guide as BTC Hits $73K and SEC Clears New Listings,0.1144,Positivo (Comprar)
2026-03-27 00:26:26,"Next Dogecoin: BTC Miners Dump 15,000 Coins as Pepeto Builds What DOGE Never Had",0.0276,Neutro
2026-03-27 00:25:13,Bitcoin Technical Analysis: Veteran Trader Peter Brandt Issues Critical Sell Signal on Rising Wedge Pattern,0.0485,Neutro
2026-03-27 00:19:02,Savannah Guthrie says two ransom notes were likely genuine in her first interview since her mother’s abduction,0.2583,Positivo (Comprar)
2026-03-27 00:19:00,Crypto News: Pepeto Nears Launch While Bitcoin Price Targets $200K Despite Crypto Crash and Markets Search for the Next Dogecoin,-0.0125,Neutro
2026-03-27 00:15:59,Best Crypto Portfolio for 2026 as Miners Sell BTC and Pepeto Adds the Early Entry,0.3389,Positivo (Comprar)
2026-03-27 00:08:53,"Crypto News Today: Bitcoin Miners Sell 15,000 BTC as EtherFi Deploys $25M and Pepeto Fills",0.1708,Positivo (Comprar)
2026-03-27 00:00:36,"Toncoin Faces Crucial At The $1 Range, Will It Hold Or Break?",0.0,Neutro
2026-03-27 00:00:19,"Gamestop Bitcoin Strategy: Company Used BTC Holdings for Covered Calls, SEC Filing Shows",-0.1,Neutro
2026-03-27 00:00:00,BIT Hosts Singapore Event on Trust and Institutional Digital Finance,0.0571,Neutro
2026-03-27 00:00:00,BNP Paribas Expands its Stock Exchange Offering to Crypto-asset ETNs,0.2168,Positivo (Comprar)
2026-03-27 00:00:00,Scaler School of Technology Launches India's First Undergraduate Program in AI and Business,0.0167,Neutro
2026-03-27 00:00:00,Savannah Guthrie: 2 ransom notes about her mother likely genuine,0.26,Positivo (Comprar)
2026-03-26 23:59:01,Altcoin Season Depends On Venture Capital Despite Industry Criticism,0.027,Neutro
2026-03-26 23:53:11,Cryptocurrencies aiding Iran during war,0.1,Neutro
2026-03-26 23:50:06,Savannah Guthrie says two ransom notes about her mother were likely genuine,0.26,Positivo (Comprar)
2026-03-26 23:48:35,"Crypto News: Pepeto Presale Update While Bitcoin Price Debate Between $0 and $150,000 Gets Answered by Bernstein Bottom Call",0.1536,Positivo (Comprar)
2026-03-26 23:43:53,How cryptocurrency ATMs play into scammers’ plans and how to avoid them,0.0479,Neutro
2026-03-26 23:43:34,Savannah Guthrie interview: TV host shares new fears for mother Nancy’s suspected kidnapping,-0.4318,Negativo (Vender)
2026-03-26 23:35:02,"Dow Jones falls nearly 500 points, Nasdaq tanks 2.5% on Iran worries; Futures see cautious rebound",0.0052,Neutro
2026-03-26 23:34:14,Best Crypto to Make You Rich as $11M Bitcoin Forecasts Shift Focus to Bigger Upside,0.3545,Positivo (Comprar)
2026-03-26 23:32:09,"Earnings call transcript: BitGo Holdings Q4 2025 sees revenue soar, stock dips",0.0,Neutro
2026-03-26 23:32:09,"Earnings call transcript: BitGo Holdings Q4 2025 sees revenue soar, stock dips",0.0,Neutro
2026-03-26 23:32:09,"Earnings call transcript: BitGo Holdings Q4 2025 sees revenue soar, stock dips",0.0,Neutro
2026-03-26 23:32:09,"Earnings call transcript: BitGo Holdings Q4 2025 sees revenue soar, stock dips",0.0,Neutro
2026-03-26 23:32:09,"Earnings call transcript: BitGo Holdings Q4 2025 sees revenue soar, stock dips",0.0,Neutro
2026-03-26 23:32:08,"Earnings call transcript: BitGo Holdings Q4 2025 sees revenue soar, stock dips",0.0,Neutro
2026-03-26 23:32:00,"Crypto News: Pepeto Presale Update While Bitcoin Price Debate Between $0 and $150,000 Gets Answered by Bernstein Bottom Call",0.2857,Positivo (Comprar)
2026-03-26 23:31:22,"Earnings call transcript: BitGo Holdings Q4 2025 sees revenue soar, stock dips",0.0,Neutro
2026-03-26 23:30:26,"Best Crypto Presale: Bitcoin Miners Dump 15,000 BTC as Pepeto Passes Every Check",0.4733,Positivo (Comprar)
2026-03-26 23:23:16,"Next Shiba Inu: SHIB Made Millionaires, but This $8M Presale Has Tools and PEPE Cofounder",0.0821,Neutro
2026-03-26 23:21:08,Solana Price Prediction: SOL Holds Commodity Status as Pepeto Targets Bigger Returns,0.1714,Positivo (Comprar)
2026-03-26 23:20:47,Next Dogecoin: SEC Clears 16 Crypto Commodities as Pepeto Builds 150x Buzz,0.0972,Neutro
2026-03-26 23:18:35,"How to Buy Pepeto Before Binance Listing as CLARITY Act Advances and SOL, ETH Gain",0.2171,Positivo (Comprar)
2026-03-26 23:16:43,Pepeto Price Prediction: CME Goes 24/7 as Experienced Wallets Load Before Listing,0.3111,Positivo (Comprar)
2026-03-26 23:15:00,BitGo Holdings Announces Fourth Quarter and Full Year 2025 Financial Results,0.1865,Positivo (Comprar)
2026-03-26 23:13:56,Next Pepe Coin: Strategy Files $42B as Pepeto Crosses $8M and Builds 150x Buzz,0.125,Positivo (Comprar)
2026-03-26 23:13:45,Bitcoin Price Prediction: White House AI Framework and Miner BTC Sales Lift Pepeto Presale,0.1083,Positivo (Comprar)
2026-03-26 23:11:00,The $10 Trillion Open Door: 401(k)s Get a Crypto Green Light,0.0545,Neutro
2026-03-26 23:05:26,NBC Boss Urges Content Ceators to Participate in DSO,0.0673,Neutro
2026-03-26 23:05:10,Morgan Stanley’s Bitcoin ETF Nears Launch on NYSE,0.1773,Positivo (Comprar)
2026-03-26 23:00:00,Coinbase and Better.com Unveil Crypto-Backed Mortgages,0.375,Positivo (Comprar)
2026-03-26 22:57:54,David Sacks Leaves White House Crypto Role With Key Legislation Still Unresolved,0.0077,Neutro
2026-03-26 22:52:47,Stocks Climb on Hopes of US-Iran Diplomacy,-0.2,Negativo (Vender)
2026-03-26 22:45:00,Dogecoin News Today: DOGE Price Tumbles as ETF Flows Stay Flat for Eight Days,-0.0167,Neutro
2026-03-26 22:42:50,Applied Digital (NASDAQ:APLD) Stock Price Down 1.7% – Here’s What Happened,-0.051,Neutro
2026-03-26 22:42:50,Marathon Digital (NASDAQ:MARA) Shares Down 7.4% – Should You Sell?,-0.0179,Neutro
2026-03-26 22:42:49,IREN (NASDAQ:IREN) Trading Down 2.5% – Time to Sell?,-0.011,Neutro
2026-03-26 22:30:26,Analyst Reveals The Plan For XRP Price Using The Bitcoin Chart,0.1072,Positivo (Comprar)
2026-03-26 22:25:11,White House Crypto Chief David Sacks Makes Pivotal Move to President’s Science Council,0.1661,Positivo (Comprar)
2026-03-26 22:14:54,Simplify Bitcoin Strategy PLUS Income ETF (NASDAQ:MAXI) Short Interest Update,0.058,Neutro
2026-03-26 22:14:51,Simplify Bitcoin Strategy PLUS Income ETF (NASDAQ:MAXI) Short Interest Update,0.0694,Neutro
2026-03-26 22:12:52,"Better Home & Finance, Coinbase to offer mortgage backed by cryptocurrencies",0.091,Neutro
2026-03-26 22:12:52,"Better Home & Finance, Coinbase to offer mortgage backed by cryptocurrencies",0.091,Neutro
2026-03-26 22:12:52,"Better Home & Finance, Coinbase to offer mortgage backed by cryptocurrencies",0.091,Neutro
2026-03-26 22:12:52,"Better Home & Finance, Coinbase to offer mortgage backed by cryptocurrencies",0.091,Neutro
2026-03-26 22:12:52,"Better Home & Finance, Coinbase to offer mortgage backed by cryptocurrencies",0.091,Neutro
2026-03-26 22:12:52,"Better Home & Finance, Coinbase to offer mortgage backed by cryptocurrencies",0.091,Neutro
2026-03-26 22:12:52,"Better Home & Finance, Coinbase to offer mortgage backed by cryptocurrencies",0.091,Neutro
2026-03-26 22:10:12,Nasdaq Tokenization Sparks Critical Warning: TD Securities Fears Market Fragmentation Fallout,0.004,Neutro
2026-03-26 22:03:58,"Better Home & Finance, Coinbase to offer mortgage backed by cryptocurrencies",0.3929,Positivo (Comprar)
2026-03-26 22:00:35,Report exposes industrial‐scale scams targeting everyday users,0.0219,Neutro
2026-03-26 22:00:27,Oil prices and markets look for direction amid conflicting messages from Iran and the US,0.0714,Neutro
2026-03-26 22:00:12,Kalshi and Ark Invest Forge Revolutionary Partnership to Power Institutional Prediction Markets,0.175,Positivo (Comprar)
2026-03-26 21:57:30,Doorbell camera helps San Antonio police foil kidnapping-ransom scheme targeting senior,0.25,Positivo (Comprar)
2026-03-26 21:56:21,"Bitcoin (BTC) price news: Trump extends Iran strike pause, trimming price decline",-0.225,Negativo (Vender)
2026-03-26 21:55:23,Bitcoin faces $14 billion options expiry while Middle East turmoil mounts,0.0,Neutro
2026-03-26 21:54:05,"Financial & Forex Market Recap: March 26, 2026",0.0446,Neutro
2026-03-26 21:47:06,How Technology Is Changing the Way Families Build Long-Term Wealth,0.1819,Positivo (Comprar)
2026-03-26 21:45:21,"After a $1.2 billion run, XRP ETFs just flipped from inflows to outflows",0.07,Neutro
2026-03-26 21:44:42,Marathon Digital (NASDAQ:MARA) Shares Up 3.6% – Should You Buy?,-0.01,Neutro
2026-03-26 21:42:47,10 Inverse ETFs That Gain in a Bear Market,0.15,Positivo (Comprar)
2026-03-26 21:38:49,"Better Home & Finance, Coinbase to offer mortgage backed by cryptocurrencies",0.239,Positivo (Comprar)
2026-03-26 21:33:19,"Better Home & Finance, Coinbase to offer mortgage backed by cryptocurrencies",0.239,Positivo (Comprar)
2026-03-26 21:32:43,"Better Home & Finance, Coinbase to offer mortgage backed by cryptocurrencies",0.2325,Positivo (Comprar)
2026-03-26 21:32:43,"Better Home & Finance, Coinbase to offer mortgage backed by cryptocurrencies",0.2325,Positivo (Comprar)
2026-03-26 21:32:43,"Better Home & Finance, Coinbase to offer mortgage backed by cryptocurrencies",0.5,Positivo (Comprar)
2026-03-26 21:32:43,"Better Home & Finance, Coinbase to offer mortgage backed by cryptocurrencies",0.5,Positivo (Comprar)
2026-03-26 21:28:54,"Better Home & Finance, Coinbase to offer mortgage backed by cryptocurrencies",0.2647,Positivo (Comprar)
